CookerStat, GenerateAssetRegistry=0.015646, Initialize=0.081349, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DA04887042CDFCC269474A88633B1180__241BA9CDD5A5F7872709212D0327EED5DF8D0D43, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=4731, Duration=1.873624, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5C1BDEE7458DBBA9E145CB999E118EF4__59DB06E4464A1E16E13921E7B66A61FC82D86E74, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=131332, Duration=2.728943, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5C1BDEE7458DBBA9E145CB999E118EF4__8A516B970B5895AA3D03CCEEE6D62ACB6EEF18C6, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=33028, Duration=2.478920, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5C1BDEE7458DBBA9E145CB999E118EF4__4E22F6860691BA2C3566BCF2FD6B6B8177E6B646, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=8452, Duration=2.775595, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5C1BDEE7458DBBA9E145CB999E118EF4__DFBF76EDBCC48EA730CED2C5B8A3B985D0B8B5E0, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=4143, Duration=1.794834, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdF1395CF5419A0746F1C38FB6416A196A_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_6959BF7B4AC1618729390AB5E89615B1_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-21.29.34, Duration=24.030876, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdA6920936470C39A241D8D1A5EC1176D7_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_6959BF7B4AC1618729390AB5E89615B1__339A67548754EF3C8CFFCCE67A29A8F9DD1CB009, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=131332, Duration=2.715290, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdC85FD47E4D4F5DEF43F5068218F8E5D8_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_6959BF7B4AC1618729390AB5E89615B1__8E3007A813626A9AC58CEB09CC83B2D7CF9AA0A0, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=33028, Duration=3.909953, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_6959BF7B4AC1618729390AB5E89615B1__139E24D76F62FC590B8693BA321AECABF178DED3, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=8452, Duration=2.231740, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdF1395CF5419A0746F1C38FB6416A196A_9, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_F48516654B91429EF331558F7243EBEA_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-21.29.34, Duration=11.287548, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
DDCTransactionIdDCB6F0264B4FC6D40C099C8421310F57_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_6959BF7B4AC1618729390AB5E89615B1__A8D35947649287DBE879E4D74B70C0A0FF896FD1, StartTime=2016.04.11-21.29.34, HierarchicalDDC=, DataSize=4143, Duration=2.018124, RunGuid=RunID55C479FF4A75A92109247CACC4E2EBBA
